conhecimento	escola
amplificador	aumentador
funcionalidade	funcionarismo
tijuco	tujucal
inatividade	inércia
libação	libame
látego	relho
lusque-fusque	meia-tinta
sacolejo	solavanco
desflorir	fanar
descavar	profundar
rebelde	revoltoso
irrenunciabilidade	irresignabilidade
ádvena	vindoiro
pudente	recatado
moleirão	zorreiro
digresso	excursão
carquilha	ruche
bem-arranjado	bem-parecido
filão	veia
condensante	condensativo
abandonamento	desprendimento
encastramento	entrosamento
convulsionar	rebelar
desavir	incompatibilizar
esguichar	espadanar
automóvel	veículo
aconselhado	recomendado
pombear	pombeirar
degradar-se	desautorar-se
espandongar	romper
astroso	sombrio
anojar-se	nausear-se
alanceado	amargado
postergar	sotopor
apassivante	apassivativo
método	regime
comprometimento	prometimento
dirigente	gestor
despargir	raiar
confuso	esfíngico
revelar	vender
irritação	nervosidade
ímpar	único
desaguadoiro	sangrador
vazão	vendagem
desacostumado	desvezado
preludiar	prologar
privilegiado	único
bacorejar	prever
desdourar	deslustrar
aselha	fivela
providenciar	socorrer
encapotar-se	velar-se
estila	estilha
pancada	pulsação
gatunhar	palmear
maceração	tortura
devotamento	entrega
agasalho	pousada
acastelado	coacervado
encorujar	mirrar
deserção	transfúgio
envolvimento	sedução
carcomer	devorar
agricultura	lavragem
desprender	exalar
embaucar	embromar
algibe	cacimba
bobeira	tontaria
sublimidade	superioridade
alienar	desvariar
aglutinar	pegar
descaso	displicência
cognominador	denominador
desafabilidade	malcriadez
glomerar	lotar
pesar	pungimento
condescender	transigir
desenfeitado	desguarnecido
compatibilidade	equivalência
germanar	igualizar
purpurejar	vermelhejar
coadunar	convir
ruidar	rumorar
poente	pôr-do-sol
esquerdo	estouvado
amoldado	moldado
indisciplina	inobediência
diligente	expedito
radicela	raigota
escuso	suspicaz
descodificar	traduzir
enfrutecer	frutescer
abarrotamento	atafulhamento
desconhecido	mal-agradecido
espezinhado	menosprezado
copiosidade	excessividade
peraltar	trasguear
pastio	pasto
segurar-se	suportar-se
preparar	urdir
demorar-se	retardar-se
cicioso	sussurrejante
choramingo	lacrimejamento
espiritualmente	mentalmente
cevado	gordo
coleção	compilação
encabeçamento	prefácio
suster	ter
querenar	recuperar
misterioso	obscuro
afortunado	fasto
reservatório	tanque
fundido	liquefato
casticação	importunação
demonstração	prova
confirmar	verificar
inércia	mandriice
comutação	volta
espertalhão	sabido
beirar	brolar
bordoada	maçada
cabotagem	costeio
cacetada	cachamorrada
corroborar	demonstrar
afagar	mimar
conhecedor	sábio
contíguo	propínquo
declivoso	teso
aclimação	aclimatação
compungir-se	enternecer-se
demanda	discussão
utensílio	utilidade
anemizar	fragilizar
inaugural	inicial
geoclimatérico	geoclímico
chamuscar	crestar
entressemear	recortar
desbloquear	desentulhar
semicerrado	soaberto
catálogo	elenco
apiedado	pio
aferretoar	agulhar
altivez	potra
desbancar	suplantar
peregrino	vindiço
contrafazer	sobnegar
inutilizar-se	ir-se
anglomaníaco	anglômano
expedito	lesto
relumar	tremer
romanticismo	romantismo
enevoar	sombrear
esborrachar	esmurrar
atarantadamente	tontamente
râncio	ranço
epístola	missiva
palpabilidade	tangibilidade
ensangüentar	purpurear
seguir-se	superpor-se
leme	mando
desforço	saldo
ácido	picante
desprimoroso	mazorral
importunar-se	incomodar-se
delombar	dominar
irrecusabilidade	irrefragabilidade
fundir	prodigalizar
empiscar	fulgir
retirado	solitário
embargo	obstáculo
calor	queimor
trilha	trilho
bramir	explodir
chacotear	zombar
vexador	vexante
desencarcerado	solto
cimentar-se	firmar-se
desvigorar	quebrantar
deão	decano
desabusar	desiludir
abas	adjacências
desafaimar	embuchar
costumário	freqüente
doméstica	serviçal
virente	viridente
formidável	magnífico
favorável	pertinente
insurrecto	revoltado
condecoração	honraria
gracioso	serelepe
chumbar	ligar
viandante	viandeiro
septenário	setenário
boquejadura	cochicho
extinção	obliteração
estenografado	taquigrafado
criança	pequeno
brincadeira	gozação
afrontamento	ultraje
desembaraço	intrepidez
impertérrito	intérrito
impingir	rodilhar
povo	vulgo
evocação	revocação
amunicionar	municiar
arqueável	flexível
atilado	maduro
alonginquar	desunir
sorna	zopo
adepto	prosélito
derrengar	esquadrilhar
desgraçar	desvirgar
litigiar	pleitear
olhada	olhadela
amansar	repousar
tonante	tonitruante
amainar-se	refecer-se
colar	emendar
entufar-se	envanecer-se
egoísmo	filáucia
dessecado	insensível
duro	forte
empolgado	seduzido
intacto	intato
grazinar	resmonear
fogosidade	impetuosidade
lampadário	lustre
madornento	sonolento
barateado	regateado
adulteração	adultério
vedação	vedo
descontentar	desprazer
adiantar-se	avançar
estrugir	rebombar
emplacar	enamorar
inquinar	poluir
lastimar-se	vagir
acorrer	lembrar
balouçado	embalado
edule	manducável
desintumescer	detumescer
atordoar	azoratar
acolchetar	colchetar
eminência	saliência
balcão	sacada
demonstrar	reproduzir
avultado	corpudo
cordão	série
denudação	desmascaramento
pífio	torpe
bajulação	louvaminha
abolar	bolear
excetiva	reserva
guardar-se	precautelar-se
efundir	esvaziar
desaprovar	reprovar
fontal	gerador
desembaraçadamente	soltamente
caso	episódio
dissimular	velar
emalar	empacotar
mestre	preletor
acamado	assentado
feiticeira	maga
dirruir	subverter
fender	gretar
sedar	sossegar
recocto	recozido
tenção	vista
acuação	acuamento
suspeitar	ver
azulejador	ladrilheiro
elogio	encômio
divinizar	extremar
pixote	principiante
atormentativo	escruciante
margem	oportunidade
enflorado	florejado
afilhado	apadrinhado
alcance	conseguimento
purpurejante	vermelho
improbar	reprovar
abastança	abundância
descautelado	imprecatado
sobreposição	superposição
refestelado	repimpado
exterioridade	superficialidade
bocejar	oscitar
aterrorizante	fero
explorar	lustrar
carinho	vigilância
queixa	ressentimento
preacada	verdascada
folgazar	jubilar-se
casta	linhagem
pastar	retouçar
dúvida	incerteza
faro	vento
encalhamento	oposição
regozijar-se	ufanar-se
assinalado	ínclito
grupo	tribo
avinhar-se	toldar-se
entesamento	estirão
amulatar	atrigueirar
impalpabilidade	insubstancialidade
careteiro	mogangueiro
angustiar-se	apoquentar-se
insignificância	poucachinho
negrejar	pretejar
erguer-se	suspender-se
apojar	tufar
abençoadeiro	benzedor
algozaria	selvageria
desarrazoadamente	incongruentemente
ardume	queimor
desautorar	rebaixar
arvorado	içado
absenteísmo	abstencionismo
cólera	cólera-morbo
irritar-se	repruir-se
deprimente	humilhante
iminente	impendente
amedrontador	arrepiante
sabugo	tamboera
adicionamento	aumento
seguimento	subseqüência
disgregar	escindir
assiduamente	reiteradamente
noivos	recém-casados
revendão	revendedor
escolha	indicação
aljofarar	esborrifar
encapetado	trêfego
jatar-se	picar-se
encorajar	reerguer
enlace	união
olaria	tijolaria
biliteral	bilítero
recriminar	repreender
lambareiro	lambaz
apreciado	avaliado
cascavel	chocalho
farpão	fisga
decididamente	resolutamente
afundado	escavado
disputar	triscar
reguingueiro	rezingueiro
acostar	coser
determinador	determinativo
engomadura	gomagem
abrir-se	dilacerar-se
atrelar	vencer
aplainar-se	igualar-se
potra	sobranceria
pimpão	sécio
espigar	prosperar
insurreição	motinação
mostrar	pontar
amestrado	ensinado
devastação	razia
dureza	intransigência
autoritário	sentencioso
encafurnar-se	refugiar-se
prega	ruga
folhedo	ramaria
transfigurar	transubstanciar
nevoar-se	obscurecer-se
preênsil	preensor
isomórfico	isomorfo
pospasto	sobremesa
deplorável	ominoso
acoutar-se	aninhar-se
chuvarada	cordoada
desalinhado	mal-amanhado
mascarar	rebuçar
catingudo	caxinguento
competitividade	rivalidade
arrenegação	traição
rebotar	rechaçar
respeito	vênia
destino	sorte
amar	copular
obsedante	obsediante
entreluzir	relumear
acridez	requeime
janotear	pimponar
aro	círculo
deslumbrar	sobrepujar
arremetimento	remetida
afrescar	arrefecer
comiserar-se	condoer-se
ressalto	salpicamento
banguela	benguela
escorço	rascunho
delegado	enviado
inexperiente	novato
enastrar	encanastrar
rebenque	vergasta
alcouceiro	prostibulário
patinação	patinagem
acoelhado	assustado
albor	arraiada
desprezível	pífio
acepção	significado
avisar	premunir
sanado	sarado
overdose	superdose
falsear	violentar
reportar	reprimir
quadrissílabo	tetrassílabo
decair	reclinar
repruir	velicar
delgadeza	magrez
degradação	lama
desamorável	severo
arruinador	prodigalizador
enchouriçar-se	encrespar-se
cerimônia	requifife
estrépito	ribombo
ensebado	sebento
alargar-se	amplificar-se
coato	contrafeito
coleta	colhimento
sabido	tacanho
desdenhoso	imponente
encharcado	paludífero
aquietado	serenado
gemido	plangência
farda	uniforme
acarreto	plagiato
desapropósito	incoerência
tiradura	tiramento
interdição	proibição
expurgar	lavar
desaglomerar	desocupar
abochornador	bochornal
digerir	entuchar
deselegante	indecente
despreguiçar	escordar
absterger-se	depurar-se
barril	vasilha
impudico	sem-vergonha
espirar	odorar
roçar	tangenciar
dito	invencionice
libente	prazenteiro
futucar	zarelhar
gravidade	importância
trança	urdidura
macambúzio	mazorro
infantilidade	parvulez
olorante	perfumoso
fartar-se	repimpar-se
amansar-se	controlar-se
parasitear	sugar
ençampar	velhaquear
babugem	quiquiriqui
incomodar	torrar
finório	maquiavélico
distribuir	ordenar
dupla	par
adornado	ataviado
abnuir	recusar
ressurgir	tornar
enrenquear	perfilar
boato	voz
saída	venda
defesa	discurso
abrasar-se	eletrizar-se
arredar	desconchegar
consumação	realização
adulador	zumbaieiro
encadeação	união
cabrum	caprum
distância	intervalo
carminar	esfoguear
insubordinável	rebelde
amachonar	amachorrar
aguardar	atender
aveludado	veludado
comercialização	extração
lucilar	prefulgir
azulíneo	azurino
finito	limitado
dirigir-se	rumar
colocar-se	pôr-se
imanar	imantar
clarear	diminuir
alvorotar	regozijar
fadário	fortuna
vampirar	vampirizar
cegueira	fanatismo
subjugar	trancafiar
condizer	harmonizar
popularidade	publicidade
avinhar	embebedar
destinação	utilização
tardo	vagaroso
abarrotar-se	cumular-se
cesto	patiguá
jeca	matuto
pacificar-se	quietar-se
desamor	quietismo
critério	roteiro
imergência	submersão
desacautelar	desguardar
compreender-se	perceber-se
vasqueiro	zâimbo
balsamizar	embalsamar
roço	soberba
azagaia	zagaia
ensejo	hora
desmensurável	imensurável
aparato	ostentação
pelejador	rixoso
recua	recuamento
despatriado	êxule
esparzir	lançar
desdobrado	distribuído
apitar	ciciar
pervencer	vencer
adjugar	descativar
glorificador	glorificante
cruento	sevo
senadoria	senatoria
acionário	acionista
descuidado	irreflexivo
encarreirar-se	rumar
assenhorear-se	senhorear
binar	biscantar
independente	livre
aureolar	circular
adiar	espacejar
desfaçatez	safadeza
negar-se	recusar-se
cabeceira	manadeira
descarrilar	desmiolar
rodoiça	rodouça
ocasionar-se	sobrechegar
desconjurar	varrer
perfazer	vencer
escusação	razão
carteamento	correspondência
cassar	resilir
prender	represar
mercadejar	trafegar
abre-ilhós	saca-bocado
copo	taça
caraolho	olhizaino
díade	par
mal-educado	mazorro
desanimador	desconsolador
descumprir	violar
esposar	professar
caçoar	satirizar
mulher-homem	mulher-macho
erijar	inteiriçar
abaloado	pando
abobalhar	aparvalhar
depor	largar
choque	encontroada
dedurar	revelar
abastardamento	bastardia
atenuar	suavizar
espaçar	vastar
notificar	participar
encavalgar	montar
desinfeccionar	desinfecionar
estigmar	notar
desenxabidez	insipidez
pacificar	sedar
refreado	retido
acarar-se	olhar-se
pressagiar	prognosticar
assoberbar-se	desvanecer-se
terminologia	vocabulário
embotelhar	engarrafar
aguaçal	paul
proscrever	sentenciar
desempregar	dispensar
fino	gracioso
acurvar	dobrar
borriçar	pingotear
objetar	remenicar
desaquecer	refecer
carta	diploma
exsurgir	levantar
desestruturar	destruir
anoitecer	noitinha
maçada	tacada
linguarejar	palrear
danar-se	espinhar-se
relumear	tremular
desacordante	desconcordante
brincado	engalenado
circotelúrico	circoterrestre
arrojamento	dardejamento
apegado	pegado
apavorador	aterrador
adventício	estrangeiro
feriado	folga
acepilhado	polido
arrastrar	impelir
amplificar	delongar
mobilizar	soltar
feitiço	malefício
acautelar-se	resguardar-se
crocitar	gralhar
ensecar	exaurir
coirela	courela
empestar	infecionar
lesar-se	marcar-se
transferência	transladação
estorricar	torrar
arrepiar	eriçar
barrica	vasilha
acogulado	atulhado
primar	ressaltar
barquear	barquejar
chupa-sangue	parasito
feminil	inviril
grã-ducal	grão-ducal
cruzar-se	entrecruzar-se
através	transversalmente
imerecido	indébito
drenagem	escoadura
igualar	respaldar
quebramento	violação
hidatígero	hidátulo
abjudicador	abjurgante
atributo	qualidade
aglomerado	coacervado
chilrar	pipilar
desarvorado	desvariado
cuia	porongo
preguear	repanhar
meticuloso	pávido
prestacionar	subvencionar
restante	sobejo
bongar	vigilar
experimentado	matraqueado
enviçado	fresco
encarrascar-se	toldar-se
exigüidade	insuficiência
corruptivo	corrupto
calcamento	esmagamento
debelar	forçar
desproporcionado	desproporcional
mosleme	muçulmano
dissipar-se	extinguir-se
entornar-se	esparzir-se
ermita	ermitão
amiseração	autocomiseração
divertido	folgaz
desengraçado	insípido
desinchar	detumescer
abadiva	badejo
descaminhar-se	esgarrar-se
ensaburrar	ferretar
reforço	revestimento
abiscoitar	arranjar
inextensibilidade	restringência
recuamento	recuo
desembestar	remessar
escaninho	reconditório
adomesticar	domesticar
abortífero	abortivo
observar	tirar
apertado	atribulado
ajoelhado	genuflexo
ingurgitar	pejar
conferir	reverificar
matematicidade	precisão
artificioso	inatural
ligar-se	unificar-se
engrazar	enloisar
resilir	zarpar
manja	tempo-será
escancarar-se	mostrar-se
dobrez	hipocrisia
aura	sopro
arrocho	quê
maltrapilho	trapalhão
fidalgaria	nobreza
autoritarismo	despotismo
açoutar	chibatear
manejo	manuseamento
desarrumado	desorganizado
mero	só
denominar	tachar
dom-quixote	quixote
concatenado	engranzado
doce	melieiro
responsabilidade	segureza
espelhento	luminoso
exilar-se	exular-se
costa	encosta
amimar	berçar
correr-se	pejar-se
grito	reivindicação
avidez	insaciabilidade
atendível	cabível
inevidência	permistão
intervalo	lacuna
pôr	submeter
serração	serragem
atroar	desatremar
bisonho	principiante
descarregar-se	esvaziar-se
abolição	revogação
enfraquentar-se	quebrantar-se
cupom	tíquete
benfazente	favorável
parvuleza	puerilidade
atacoado	atamancado
embrumar	nublar
escambichar	rachar
perfeiçoar-se	requintar-se
reedificar	reerigir
brocar	lurar
firmação	fortalecimento
meninote	mocinho
burlador	logrativo
chilreante	golelheiro
apreender	desconfiar
covarde	pusilânime
remoela	trote
endentar	entrosar
contactar	tocar-se
textura	trama
emburrar	embuziar
enricar	enriquecer
incrementação	lapidação
ajeitado	ordenado
hiemal	invernoso
esporar	prurir
produtividade	rendimento
confundir-se	intermisturar-se
catarata	salto
cenosidade	impureza
categoria	posição
compassividade	condolência
arrolado	enovelado
tampa	tapador
gázeo	verdoengo
rebrilhoso	resplandente
descrever	retratar
abreviar	precipitar
despique	saldo
consertar	medir
acanhar-se	embaraçar-se
acariciante	fagueiro
clamar	requisitar
estontear	zonzear
abichar	pilhar
prevenir	resguardar
amasio	mancebia
atrofiador	atrofiante
execração	raiva
embaimento	embófia
masculinizar	virilizar
contratante	empregador
assinalável	notável
predisponência	veia
envanecer	inchar
vadio	vagamundo
prefação	prelúdio
alquebrar-se	exaustar-se
tremular	trepidar
despossar	trosquiar
fanfurrião	farofeiro
fatiota	indumento
abemolar-se	afetar-se
processo	técnica
azorragada	lamborada
depreender	penetrar
emborralhar-se	nodoar-se
carrear	transportar
periódico	rítmico
emitir	mencionar
desbandalhar-se	disparar-se
encoirar	encourar
comunicação	diálogo
confissão	desabafo
calendário	cronograma
esbulho	espólio
americano	norte-americano
favorecer-se	prevalecer-se
agachado	alapardado
tapeação	velhacaria
estropiador	mutilador
maldadoso	malicioso
garrulice	parolice
aproximar	conjungir
gomo	pimpolho
everter	soçobrar
anestesiar	narcotizar
consorciação	consórcio
prefulgir	relumear
bangular	pervagar
hombridade	virtude
fantochada	fita
saltear	unhar
fatídico	fatiloqüente
criticar	funestar
redargüir	retorquir
interpresar	tentar
delegação	representação
embaular	esconder
interromper	sustar
capela	grinalda
mamantão	mamão
derrotado	vencido
bruxo	necromante
rodopiar	volutear
debulha	defraudamento
afamiliado	maridado
divertimento	entretimento
impenetrabilidade	imperceptibilidade
aladeirado	enladeirado
abastado	ourudo
superestrutura	superstrutura
aquinhoar	prover
golada	trago
musicalidade	unissonância
assombração	assombro
glutonaria	voracidade
prestes	veloz
bom	competente
gatunagem	rapina
cortante	lacerante
brejeiro	tunante
impender	pertencer
afarelar	desmiuçar
ananicado	calhorda
cogitabundo	cogitativo
esfriar	ter
amorosamente	ternamente
decompor	putrificar
elite	nata
açacalado	acicalado
recamar	vestir
baguncear	fandanguear
abaladura	abalamento
bazofiador	pimpão
encandear	ofuscar
contumelioso	ofensivo
concreto	definido
zopeiro	zopo
esfacelar-se	rebentar-se
amesquinhador	apoucador
frívolo	oco
mandriar	mandrionar
descrente	descrido
corrupto	ruim
melhor	preferível
angústia	sofrimento
alambrado	aramado
deambulação	passeio
reinação	safadice
decoroso	reto
corográfico	ctonográfico
fugaz	momentâneo
titubação	titubeação
batueira	tamboera
fervilhar	pulular
sujeição	timidez
fila	linha
capiongo	juruju
desachegar-se	separar-se
volantim	volatim
açaime	açame
desatencioso	inamável
castigar-se	penitenciar-se
embelecar	entreter
acordamento	excitação
mau	mísero
noute	véu
ameninar	renascer
arrebito	imodéstia
pico	zingamocho
lentejar-se	orvalhar-se
corvejar	grasnar
islamismo	muçulmanismo
comuníssimo	vulgaríssimo
criação	ideação
aurifulgente	aurisplendente
absorver	gastar
levantamento	motinação
clérigo	eclesiástico
antever	presumir
agafanhar	unhar
longamira	óculo-de-alcance
açucarado	dulcificado
defumadoiro	defumador
tapeador	tunador
ababelar-se	unir-se
recongraçar	temperar
tabefe	trolha
confessar	revelar
petima	petume
desabridamente	rudemente
desacatar	descumprir
enguiçado	macutena
imolador	sacrificante
abastar-se	aperceber-se
revoltear	revolver
resmungão	rezingão
moderador	moderatório
apetecível	convidativo
eco	retumbo
desnuar	desnudar
sarjação	sarjadura
acintoso	maldadoso
enredar	enredear
tema	terreno
espesso	nubiloso
lusitanizar	portugalizar
resolubilidade	solubilidade
dissonoro	malsoante
despentear-se	escabelar-se
lanhar-se	lesionar-se
resolver	servir
omissor	omissório
secador	tedioso
recordação	reminiscência
coarctador	coartador
frenesi	impulso
lento	pesado
desmentido	negado
ádipe	obesidade
enxofrar	irritar
som	toada
desaferrar	soltar
banda	parte
leitão	porquinho
ganância	ganhos
enfreado	retido
negação	negativa
desamotinar	serenar
humilhar	murchar
resumidamente	sumamente
abrasão	esfola
desordenar	enlabirintar
compromisso	obrigação
detonação	disparo
advogado	defensor
nimbo	resplendor
donoso	galhardo
garantir	resguardar
flagrar	pegar
habilitar	instituir
envolvência	hipnotização
alcoice	prostíbulo
enlevamento	rebitagem
predisposição	veia
mocamau	quilombola
chateação	importunação
requestar	solicitar
pactício	pactual
escarrapiçar	pentear
conflagrar	eletrizar
posterior	subseqüente
apinhar-se	enxamear-se
maroto	ribaldo
aluído	desabado
pomada	proa
receptáculo	vasilha
rompedura	rotura
desestatização	privatização
desnobrecer	inferiorizar
depreciar-se	desmerecer-se
ocasional	ocasionário
conciliábulo	conspirata
adulto	crescido
cismar	suspeitar
agarra	agarração
apeçonhar	empeçonhentar
bandeira	emblema
faneco	seco
desacorde	dissonoro
janotear-se	peralvilhar-se
irrefreável	irreprimível
ponta	vértice
fulgência	resplandor
aprumo	sobrançaria
rondão	trapalhada
flagelar-se	lacerar-se
desvanear-se	emplumar-se
degradador	deprimente
bolacha	pitomba
destacar-se	realçar
maquilar-se	pintar-se
desejar	piançar
cérceo	rente
dado	tendente
diurnal	quotidiano
bagaceira	engaço
incitar	mordicar
abstraente	abstraidor
multiforme	protéico
areísco	areoso
tapigo	tapume
tremelear	tremer
ensombrecer	sombrear
contumaz	persistente
desembravecer	desenfezar
rebuço	refolhamento
rebrilhar	resplender
fatiloqüente	profético
engalanar	ornar
campear	pleitear
abodegar-se	sujar-se
castidade	continência
presságio	profecia
abespinhar-se	esturrar-se
reconvir	retomar
atontado	estonteado
fundamentar	motivar
estrondar	estrondear
desposar	receber-se
entremeter	intermediar
circunspetamente	gravemente
quadripartido	quadripartito
detectar	distinguir
transbordamento	vertedura
chofer	motorista
encorpado	massudo
trinado	trino
desenlaçar	desenredar
abonar	oferecer
comando	rédea
molenga	zorreiro
acoitar	acolher
badernista	desordeiro
premeditado	proposital
desalmado	desamorado
atado	preso
formar	nutrir
atroador	atroante
alcançável	conseguível
assento	base
alongar-se	prorrogar-se
inapreciável	inestimável
encolerizar-se	exaltar-se
afundar-se	desaparecer-se
formalidade	requifife
abscindido	estropiado
retoiçar	travessear
castear	reproduzir-se
desvairado	variado
indigitar	sinalizar
esticão	puxada
chavear	fechar
gestor	superintendente
dilaceração	rebentação
bituca	ponta
acolhimento	guarida
desabrolhar	desbrochar
aplanado	chapado
abronzeado	bronzedo
contristação	melancolia
habitado	povoado
folhada	folhedo
murmulhar	rumorejar
pua	torno
embaralhar	enlabirintar
esfarrapamento	rasgamento
interlaçar-se	sobraçar-se
exemplificar	ilustrar
tratante	velhaco
castamente	inocentemente
desinfestação	desinsetização
sobreexceder	transcender
pagamento	salário
enxadrista	xadrezista
chafurdice	sordície
acidente	contratempo
atrofiamento	entrevecimento
desengrazar	desengrenar
abrevar	beberar
brotamento	renovo
nérveo	nervino
babelizar	desajustar
encolerizar	irritar
materialidade	mundanidade
seroso	soroso
retrogradar	retrosseguir
agrado	prazimento
agarração	agarramento
especular	trabalhar
esporear	inflamar
acoimador	repreensor
esconder-se	transpor-se
visível	visivo
abegão	campônio
deslombar	tarear
arrelvar	relvejar
estancar	parar
afixo	segurado
extraviar	pestear
alugar	estipendiar
corroer	erosar
empenhorar-se	fazer
alarvajado	tosco
obnubilar	ofuscar
desautorizado	desmoralizado
ressonar	retroar
abusar	exorbitar
delibar	libar
escandaloso	indecente
instrução	saber
acapelar	fundir
gerenciar	manejar
querelador	quereloso
arquivar	encerebrar
prosaico	prosístico
divulgado	revelado
exímio	preclaro
gracejo	picueta
cariciável	suave
afumar	vaporar
consignar	firmar
escamotar	esponjar
lamúria	ulo
entrevar	ofuscar
redundar	sair
redivivo	ressurrecto
logro	messe
formular	presentar
afligidor	mortificativo
lamaçal	poceirão
balançar	cotejar
encobrimento	recolhimento
desguedelhar	embaraçar
dominação	mando
apaziguador	pacificador
cavilhar	tarugar
presunção	pretensão
escarpelar	esgatanhar
municionar	munir
irritar	torrar
avergar	sofrear
beneficiado	favorecido
descongestionar	desinflar
melindrar	vulnerar
mantilha	véu
refocilar	restabelecer
abodegação	aborrecimento
inatacável	invulnerável
entender	imaginar
encalvecido	pelado
zangalho	zangaralhão
fração	parcela
pampanoso	pampíneo
amedrontante	fero
andadeiro	andeiro
cretino	nenho
apadrinhar	soprar
tontear	transtornar
respingo	salpico
safadeza	safadice
esverdeado	verdolengo
competição	concurso
tempestuar	torrar
afiado	aguçado
emagrentado	mirrado
arreliento	pendenciador
medicar-se	tratar-se
não	negativa
jacular	vibrar
impulso	remetimento
irreflexão	louquice
primaveral	primaveril
engrandecer	qualificar
amealhar	economizar
decorrido	transato
badalar	toar
azangar	incomodar
motinar	revolver
babaquice	tontice
pávido	tímido
carpetar	entapizar
frustrar	gorar
erotismo	sensualidade
somenos	vilão
aveado	azoratado
subsistir	vigorar
crise	tensão
inculcar	patentizar
estanciar-se	gasalhar-se
aluarado	enluarado
maneiroso	namorado
impelidor	impulsor
chavascal	cortelha
fusão	liquefação
pêlo	penugem
enclaustrado	enclausurado
esfomeação	voracidade
calhar	quadrar
jaezar	ornar
domínio	unha
atrasar	lerdear
assombrar-se	pasmar-se
credo	crença
síntese	união
arriscar	expor
menoscabar	rebaixar
desraigado	extirpado
cimo	cocoruto
pesca	piscicaptura
liquidificante	liqüidificante
desengrossar	detumescer
cintilar	fulgurar
garotagem	pequenada
alardar-se	campar
frialdade	gelidez
entregador	tredo
moldurar	ornamentar
parasito	sabujo
pretérito	transcurso
dandinoso	janota
ajorca	axorca
deliciar	lisonjear
infalível	irremissível
demorar	habitar
lavandaria	tinturaria
mancomunagem	tramóia
árabe	mouro
cansável	fatigável
desmerecimento	desprestígio
sacada	sacadela
indiligente	negligente
bloqueio	trava
branqueado	caleado
reter-se	ter-se
repartição	seção
sombrejar	turbar
eclipsar	sombrear
envermelhar	vermelhear
dependente	submetido
dedução	depreensão
convalescer	reverdecer
rodeio	rotação
apedrejado	ofendido
climatério	climático
congeminar	redobrar
caxiri	veneno
inspiração	toque
contrafazer-se	sofisticar-se
irar	irritar
polvilhar	salpicar
palrice	parolagem
reboco	revestimento
coleante	serpenteante
conciliação	reconciliação
fichamento	registro
cenrada	lixívia
chamejamento	chamejo
envaidecer	pavonear
desatravancado	desingurgitado
imperecedouro	perdurável
lacônico	preciso
ponderação	siso
arquivamento	sobrestamento
nutritício	substancioso
encrava	enrascada
imprevistamente	inesperadamente
envalar-se	fortificar-se
cheio	completo
radioso	rebrilhante
encantar	enlevar
frio	gélido
atoarda	balela
coudelaria	haras
impensado	inopinado
opulentar	reputar
devidamente	merecidamente
denodo	desembaraço
retrátil	retrativo
interceptar	pegar
geladeira	geleira
sereno	sossegado
fim	limite
encosto	respaldo
excessivismo	redundância
bizarrear	gabar-se
grassar	propalar-se
tela	trama
balburdiar	confundir
calcanhar	couce
fiscela	mordaça
acantoar	isolar
deprimir	enervar
admonição	escarmento
tradução	transladação
estrovinhar-se	perturbar-se
acirramento	concitação
toireiro	tourista
esvaecer-se	esvanecer-se
adiamento	transferência
esquina	rebarba
redondamente	redondo
alucinógeno	tóxico
aprimorar-se	lapidar-se
atritar-se	desamistar-se
contenção	encerramento
asfaltagem	asfaltamento
bestalhão	boboca
supletivo	supletório
empapuçado	tumefeito
desocupar-se	dispensar-se
empanturramento	enfartação
condimentação	tempero
atrasar-se	deter-se
revivificar	vivificar
curral	estábulo
misantropo	solitário
cumulação	superposição
bambo	lasso
ajuntar-se	grupar-se
cruz	madeiro
recuperação	restauração
engurujar	retrair
alvissarar	dar
ominar	profetar
doudo	tresloucado
gostar	prezar
enunciado	expresso
torpe	vilão
pindobal	pindoval
fundado	fundamentado
discordo	inconsonância
espaventoso	estrondoso
combustão	ignificação
paralisação	travamento
desalentador	desanimador
embrulhamento	ludíbrio
exclusão	expulsão
baldear	golfejar
ocidente	oeste
protelação	retarde
basear	firmar
ajuizado	circunspecto
autarquia	autocracia
reconstruído	reedificado
especificado	minudente
declinação	declínio
desenlace	desenleio
brunido	reluzente
subornado	vendido
abstêmico	abstêmio
nutrimental	nutritivo
carcerar	prear
encafifado	envergonhado
causa	partido
desperdiçar	dissipar
bem-aventurança	fortuna
entrepausa	intercadência
parentesco	sanguinidade
poupança	sovinaria
desaconselhar	despersuadir
ficar	valer
empalidecer	menospreçar
popularizar	propalar
desgraçar-se	perder-se
assobiado	assoviado
encarceramento	reclusão
cunhar	monetizar
acupunctura	acupuntura
imunizar	mitridatizar
dejejua	dejejuadouro
arquear	envergar
papelejo	papelucho
acompleiçoado	acomplexionado
arenga	discurso
lentejar	transcoar
alçada	competência
calçamento	passeio
guiar-se	nortear-se
agigantar-se	gigantear
maravilhoso	mirífico
descomunalidade	gigantez
apatia	frouxidão
assomadiço	irritadiço
amansado	domado
trapaceiro	tuno
desenrascar	desvencilhar
esbroar	esfarelar
caminhador	caminhante
bronquear	trautear
dessangrado	froixo
desfadigar-se	relaxar-se
direcionar	induzir
grita	vozearia
afonsino	velho
refrigerante	refrigério
chamuscada	chamusco
enredadeira	lena
desculpa	indulto
óbolo	pitança
educação	política
montês	montesino
aglutinante	aglutinativo
descoagulado	descoalhado
pensar	refletir
arruaçador	rusgador
bá	pajem
erosar	rafar
bigodear	chalaçar
infletir	refletir
