conhecimento	escola
parasitação	parasitismo
rasar	rasoirar
folgador	galhofento
inopinado	subitâneo
acurado	aprimorado
crescido	fermentado
apancado	estólido
corrompido	corruptivo
encarquilhado	esmarrido
liberdade	permissão
acotovelar	esporar
aporfiar	questionar
asserenar	calmar-se
atopetar	lotar
desadormentar	despertar
desfeita	inconsideração
empapar	engrampar
lameiroso	lutulento
grande	profundo
administrar	governar
infesto	ruinoso
humilhante	vexante
bradar	esgoelar
congestionar	entupir
espalhafato	vozearia
cobrir	satisfazer
desmiuçar	estriçar
lasca	talisca
encabrestar	submeter
ressequido	torrado
baldrocar	tapear
envaidecer-se	intumescer-se
improvidente	negligente
agrestia	rudeza
cru	feroz
anegrado	negrusco
coligar-se	ligar-se
engrolado	tapeado
apeçonhentado	peçonhento
antipático	contrário
pautar	recensear
decretar	impor
conturbar	desacomodar
açodar	apicaçar
enleio	envolvimento
azedia	pique
balneário	terma
dormideira	modorra
enfarar-se	enjoar-se
duvidoso	irresoluto
aforismal	aforístico
facultoso	opulento
alambazado	lambaz
errabundo	vagamundo
quietude	suavidade
donaire	ornato
adstringir-se	restringir-se
intricar	intrincar
agastamento	arrelia
perseverar	persistir
arrear	vestir
desperdiçado	extravagante
abobalhado	apatetado
horroroso	tétrico
desencarrilhar	desmandar-se
desfortalecer	desvigorar
entrecruzar-se	travar-se
abiúdo	adiantado
desvalidar	revogar
sibilar	tinir
cachaçudo	soberbo
caído	gelado
aiar	ulular
abespinhado	sanhoso
depender	originar-se
consternado	desolado
afilado	apuado
claro	morto
achambonado	achavascado
reger	regular
brejoso	charqueiro
rinha	rixa
acabado	encerrado
benquistar	compor
acender	espicaçar
abrilhantar	avivar
organização	sociedade
exagitar	marfar
excepcionalmente	extraordinariamente
desarborizar	desmoutar
retransir	transpassar
apandilhar-se	deslustrar-se
clava	toco
banana	pateta
desafortunado	infortunado
atropelar	enlabirintar
capacidade	competência
centelhar	vagalumear
restabelecimento	restauro
interpretar	ter
desabrido	desamorável
definito	preciso
aprazível	sonoro
amenta	voz
selvagem	silvícola
artimanha	raposice
endurecimento	pertinácia
milenar	milenário
embonecrar	pendoar
modelo	tipo
espiráculo	resfolegadoiro
emascarar	sufocar
adinamizar	desvigorizar
empeçonhar	prevaricar
argúcia	transcendência
contundido	pisado
cerrado	unido
amical	amistoso
galear	janotar
embrulhar	ludibriar
acariciador	amimador
aparatar	ornamentar
engrampar	enloisar
comunhão	união
exercitar	trenar
pugnador	pugnaz
envinagrar-se	reprurir-se
abilolado	desabotinado
hástea	vergôntea
aguilhoar	inflamar
fanado	torrado
assustar-se	espaventar-se
reabastecimento	refornecimento
decisão	determinação
abarregar-se	juntar-se
desajeitar-se	perturbar-se
discernir	medir
azul-do-céu	cérulo
individualmente	singularmente
apocalíptico	intrincado
dificultar	fechar
afanoso	fatigante
pregar	tracionar
delgado	delicado
desacorçoado	desencorajado
licencioso	obsceno
barracar	enrinconar
desalinhar	desaparelhar
embuchar-se	locupletar-se
sacerdote	tonsurado
fundar-se	jogar
abandonar	negar
desgovernado	estragador
atabalhoamento	pipoco
afastamento	apartada
penitência	tortura
açaimar	medir
desengatilhar	transfazer
injúria	opróbrio
foguear	ruborizar
estuporar-se	imobilizar-se
abaixar	acocorar
conubial	marital
chateza	estopada
lesto	presto
embatumar	preencher
safar	sobnegar
consistente	pastoso
chilreiro	dizedor
desmobilhado	desmobiliado
alar	guindar
emproar-se	entufar-se
enlaçar	estreitar
encanudado	encanutado
desesperante	desesperativo
redutivo	redutor
enlear-se	enredear-se
debulhado	escorchado
embalador	ilusivo
vaivém	volta
alvear	dealvar
sobreabundar	superabundar
deaurar	doirar
friento	friorento
atrativo	poesia
aborrido	maçante
pardieiro	tapera
flutuador	salva-vidas
fraudar	tolher
corrugar-se	encorrilhar-se
excedente	sobra
desambicioso	desapegado
deleitar-se	satisfazer-se
estroinar	patuscar
albergaria	poisada
conchavo	mancomunagem
penhorar	seqüestrar
investir	lançar-se
aparamentar	colorizar
eletrizar	esporar
abracável	abrangível
pitônico	vatídico
empavonar-se	estadear-se
empavonear-se	envaidecer-se
berrante	clamador
dilapidador	prodigalizador
cachamorrada	marretada
latir	vociferar
estimular	impelir
verdejante	verdoso
languescer	prostrar
arrepiar-se	enchoiriçar-se
adomar	temperar
difícil	fatigoso
vário	volátil
categoricamente	expressamente
infecionar	pestiferar
esperdiçar	prodigalizar
intriga	invenção
cegar	embaciar
cisão	corte
abananado	apombocado
assentamento	firmação
descantar	entoar
jactante	loroteiro
concluir	deduzir
devassar	esmiuçar
abestalhado	atroado
consumir	dissipar
bestar	vagar
abalroada	colisão
admissão	aprovação
debandar	estroçar
abreviado	encondensado
sovinice	tacanhice
desacreditar-se	difamar-se
sinopse	súmula
escandescer	pruir
ativo	laborioso
paniguado	protegido
fincar	meter
fortificar-se	oxigenar-se
anúncio	vaticínio
alfobre	alfofre
drogomano	turgimão
falatório	rumor
aleijar	jarretar
cômodo	tranqüilo
afetar	irritar
esgoelamento	gritadeira
adamado	alfeninado
atiramento	remetida
desprezável	reles
examinar	perscrutar
desconcertar	desestruturar
horripilante	temerso
restrugir	zonzear
teste	verificação
envencilhado	implexo
desfalcar	diminuir
arrombamento	depredação
poetificar	versar
estarrecer	fulminar
desgovernar	viciar
agastado	enraivecido
chavascada	preacada
atormentar	chicotar
fúsil	fusível
desmembramento	destroncamento
amolgar	prostrar
certâmen	justa
aformosentar	ajaezar
apejar-se	oscilar
aflitivo	dilacerante
caixa-forte	cofre-forte
cineração	incineração
ignavo	manzanza
aperrar	insistir
idiotismo	zotismo
burricada	parvoíce
dissolvência	liqüidificação
arrear-se	fanfarronar
fúnebre	funeral
homogeneizar	uniformizar
sapateado	sapateio
evidenciar-se	patentizar-se
albergar	asilar
aniquilado	apeado
desembutir	desmontar
amarasmeado	letárgico
entrever-se	vislumbrar
limitado	restringido
dissimulado	indireto
contrastar	opor
aberta	abertão
governar	tronejar
alarmar	ariscar
afouteza	coragem
apaixonante	sedutor
mantimento	retenção
rabeira	viso
chutar	enjeitar
agarrar	garrear
aloucar	variar
acroase	dissertação
intertecer	obrar
estreitar	minuir
inclinar	pender
mundificar	purgar
imperecedor	perene
nitente	resplendente
enfurecer	exasperar
atristar	ofender
abluente	detergente
desabrigo	desagasalho
agigantear	agravar
arrematar	inteirar
iracundo	zangado
abelhudo	metido
afrouxar-se	entorpecer
abobadado	recurvado
aprofundar	desencovar
aflar	inspirar
charlar	tartarear
absorver-se	empregar-se
desaparecer	meter-se
faina	lide
determinado	feito
desalforjar	infundir
adulterado	contrafeito
desapertar-se	soltar-se
adulterar	extraviar
