a-bê-cê	abecedário
desimpedir	safar
desinchado	desintumescido
desinchar	detumescer
desinchação	detumescência
desinfeccionar	desinfecionar
desinfestação	desinsetização
desingurgitado	livre
desinquietar	tentar
desinquietar-se	incomodar-se
desintegração	separação
desinteligência	divórcio
desintumescer	detumescer
desirmanado	diferente
desistir	escorraçar
deslado	rumo
deslassar	laxar
deslavar	desmaiar
desleal	tredo
deslealdoso	leonino
deslealmente	perfidamente
desleitado	exúbere
desleixação	relaxidão
deslembrado	olvidado
desligar-se	separar-se
deslindamento	destrinça
deslisar	turibular
deslizadeiro	resvaladoiro
deslizamento	resvaladura
deslizar	rabear
deslocar	desnocar
deslocar-se	despreender-se
deslocação	mobilização
deslombado	espancado
deslombar	tarear
deslumbramento	fascínio
deslumbrante	fastuoso
deslumbrar	sobrepujar
deslumbre	fascínio
deslumbroso	triunfante
deslustrado	empanado
deslustrar	embaciar
deslustrar-se	obscurecer-se
deslustre	empanamento
desluzir	mutilar
desluzir-se	embaciar-se
desmaecer	esmaiar
desmaiar	esfalecer
desmaio	vágado
desmama	desmame
desmancha	esborôo
desmanchar	esfacelar
desmandado	intemperante
desmando	exageração
desmedrar	emagrentar
desmedroso	ousado
desmelhorar	minar
desmelindrar	jubilar
desmembramento	destroncamento
desmembrar	mutilar
desmembração	separação
desmemoriado	esquecido
desmemoriamento	esquecimento
desmensurável	imensurável
desmentar	enloucar
desmentido	negado
desmentir	diferir
desmerecedor	indigno
desmerecer	rebaixar
desmerecimento	desprestígio
desmiolado	esmiolado
desmiolar	girar
desmiudar	minudenciar
desmiuçar	estriçar
desmobilhado	desmobiliado
desmochar	mochar
desmodorrar	excitar
desmoralizar	extraviar
desmoralização	profanação
desmoronar-se	esfarelar-se
desmoutar	humanizar
desnalgar-se	remexer-se
desnaturamento	distorção
desnaturar	deteriorar
desnervar	enfraquentar
desnivelar	discernir
desnobrecer	inferiorizar
desnortear	entontecer
desnortear-se	estremunhar-se
desnuar	desnudar
desnudamento	revelação
desnudo	despido
desnutrir	emagrecer
desobedecer	trespassar
desobediência	inobservância
desobrigado	isento
desobrigar	exonerar
desobstrução	desobstruência
desocupado	vago
desocupar	vaziar
desocupar-se	dispensar-se
desodorado	desodorizado
desolar	ermar
desonerar	liberar
desoneração	isenção
desonestar	infamar
desonestidade	doblez
desonrador	desonrante
desonrar	ignominiar
desordem	subversão
desordenar	enlabirintar
desordenar-se	perder-se
desorganizar	perturbar
desorganização	desvinculação
despachar	enviar
despacho	envio
desparecer	ruir
despargir	raiar
despartir	desviar
desparzir	radiar
despassar	pervagar
despatriado	êxule
despavorir	espantar
despedaçamento	dilaceração
despedaçar	estilhaçar
despedimento	exoneração
despedir	rutilar
despedir-se	retirar-se
despegar	estremar
despegar-se	saltar
despego	distanciamento
despeitado	escandalizado
despeitar	encalistrar
despejado	despudorado
despejar	transvazar
despejo	impudor
despentear-se	escabelar-se
desperdiçado	extravagante
desperdiçador	esperdiçador
desperdiçante	esperdiçante
desperdiçar	dissipar
desperecer-se	deturpar-se
despersuadir	tirar
despertar	sacudir
despeçar	moer
despiolhar	esquadrinhar
despique	saldo
despir	despossuir
despistamento	ludíbrio
despistar	emburricar
despojado	espoliado
despojar	orfanar
despojo	presa
despolir	empanar
desponderado	irreflexo
desponta	surgimento
despontar	raiar
desposar	receber-se
despossar	trosquiar
desprazer	ofender
desprecavido	imprevidente
despregar	separar
despreguiçar	escordar
despreguiçar-se	estender-se
desprender	exalar
desprender-se	soltar-se
desprestigiar-se	desvalorizar-se
desprestígio	queda
desprevenir-se	facilitar
desprezável	reles
desprezível	pífio
desprimoroso	mazorral
desproporcionado	desproporcional
despropositado	espinoteado
desproveito	prejuízo
desprovimento	nudez
despumar	escumar
despundonorado	despundonoroso
despótico	opressor
desquadrilhar	sovar
desqueixelado	estupefato
desquietar	exagitar
desrabado	rabicó
desraigado	extirpado
desraizar	jugular
desregrado	exagerado
desrespeitar	transgredir
dessaborido	dissaborado
dessangrado	froixo
dessangrar	exaustar
dessecado	insensível
dessegredar	pregoar
desservido	escasso
dessimétrico	dissimétrico
dessoante	discordante
dessossegar	remexer
dessossego	fogo
dessoterrar	revelar
dessumir	extrair
destacar	focar
destacar-se	realçar
destaque	projeção
destemeroso	impertérrito
destemido	intimorato
destemperado	imoderado
desterrado	proscrito
desterro	solidão
desterroador	estorroador
destilar	transcoar
destinar	empregar
destinação	utilização
destino	sorte
destituir	privar
destituído	escasso
destoante	malsoante
destoucar	enfear
destrambelho	doidaria
destratar	ultrajar
destrinchar	individuar
destrinçar	particularizar
destristecer	triunfar
destro	lesto
destroncado	luxado
destroncar	truncar
destroçado	dispersado
destroçar	dissipar
destroço	dissipação
destruir	esfrangalhar
destrutibilidade	fragilidade
desumanidade	malevolência
desumano	subumano
desumidificar	esgotar
desunir-se	esfazer-se
desunião	dissensão
desvaecer	ensoberbecer
desvaecer-se	extinguir-se
desvairado	variado
desvairar	embebedar
desvalidar	revogar
desvalijar	sonegar
desvanear	varrer
desvanear-se	emplumar-se
desvanecer	varrer
desvanecer-se	garguitear
desvariado	vário
desvariar	esmaniar
desvelar	elucidar
desvendar	expor
desvergonha	impudência
desvergonhamento	petulância
desviar	esgueirar
desviar-se	escabecear
desvigorar	quebrantar
desvigorizar	exaurir
desvincilhar	estriçar
desvio	divagação
desvirilizar	emascular
desvirtuamento	distorção
desvirtuar	violentar
desvirtuar-se	perder-se
desvirtuação	envilecimento
desvitalizado	quebrantado
desvitalização	esgotamento
desvão	recanto
desígnio	sorte
detalhar	maquinar
detalhe	particularidade
detectar	distinguir
detector	radar
detento	preso
deter	represar
deter-se	plantar-se
determinado	feito
determinador	determinativo
determinar	ser
determinar-se	empreender
detestado	execrado
detido	vedado
detonação	disparo
detrair	infamar
detratar	difamar
detruncar	tronchar
deturbar	intranqüilizar
deturpar	infeccionar
deturpar-se	putrificar-se
devagar	morosamente
devaneador	sonhador
devanear	endoudar
devaneio	faz-de-conta
devassa	sindicância
devassar	esmiuçar
devassidão	libidinosidade
devasso	imorigerado
devastar	infestar
devastação	razia
deveras	verdadeiramente
devidamente	merecidamente
devolutivo	devolutório
devoluto	inabitado
devolver	tornar
devorante	lambaz
devorar	dilapidar
devotamente	religiosamente
devotamento	entrega
devotar-se	votar-se
devoção	entrega
deão	decano
deífico	divinizante
diabrura	molecagem
diabólico	luciférico
diadema	nimbo
diamba	dirijo
dicionarista	lexicógrafo
dicionarizar	vocabularizar
dicionário	léxico
dicotômico	dicótomo
didático	escolar
dietista	nutricionista
difamado	enodoado
difamante	maledicente
difamar	enegrecer
diferente	variegado
diferençar	ver
diferir	retrasar
dificuldade	obstrucionismo
dificultar	fechar
difundir	publicar
difundir-se	disseminar-se
difusamente	largamente
difícil	fatigoso
digerir	entuchar
digladiar	triscar
dignidade	gravidade
dignificação	nobilitação
digno	direito
digresso	excursão
dilaceramento	rebentação
dilacerar	esfarrapar
dilacerar-se	moer-se
dilaceração	rebentação
dilapidador	prodigalizador
dilapidar	esfrangalhar
dilatado	grande
dilatório	moratório
diligenciar	intentar
diligente	expedito
diligência	ligeireza
dilucidar	enuclear
diluir	moderar
diluir-se	resolver-se
diluvioso	torrentoso
dilúculo	entremanhã
dimanação	emanação
dimensão	espaço
diminuir	suavizar
diminuir-se	ir
diminuto	manino
dinheirento	opulento
dinheiroso	ourudo
direcionar	induzir
direcionar-se	encaminhar-se
direito	sério
diretor	gestor
dirigente	gestor
dirigido	orientado
dirigir	reger
dirigir-se	rumar
dirruir	subverter
dirígio	tabanagira
discernimento	exame
discernir	medir
disciplina	matéria
disciplinar	sujeitar
discipulado	tirocínio
discordante	inarmônico
discordo	inconsonância
discorrer	especular
discrepar	dividir
discreto	judicioso
discurso	predicação
discussão	disputa
discutir	disputar
disfarce	ilusão
disfarçar	solapar
disgregar	escindir
disjunção	exarticulação
disparar	pregar
disparar-se	esbandalhar-se
disparatar	sonhar
disparo	explosão
dispensa	dispensação
dispensar	prescindir
dispersado	espalhado
dispersar	estroçar
dispersar-se	estourar
displicente	indolente
dispor	estabelecer
dispor-se	precaver-se
disposição	tendência
disputar	triscar
dissaborado	sensabor
dissecar	olhar
dissecação	dissecção
dissectivo	dissetivo
disseminar	proclamar
dissenso	divergência
dissentir	implicar
dissidente	sedicioso
dissimulado	indireto
dissimular	velar
dissimular-se	mascarar-se
dissipado	estróina
dissipador	malgovernado
dissipar	malgastar
dissipar-se	extinguir-se
dissipação	pândega
dissoluto	viciado
dissolver	fundir
dissolver-se	exalar-se
dissolvência	liqüidificação
dissonoro	malsoante
dissuadidor	dissuasor
distanciado	espaçado
distanciador	espaçador
distanciar-se	distar
distante	saído
distender	expandir
distender-se	estiar-se
distensão	entesamento
distinguido	divisado
distinguir	honorificar
distinguir-se	predominar
distinto	esclarecido
distinção	realce
distraimento	prazer
distrair	letificar
distrair-se	dormir
distrate	distrato
distração	espairecimento
distribuir	ordenar
disturbar	estrompar
distância	intervalo
ditado	rifão
ditadura	prepotência
ditar	ordenar
ditatorialismo	governismo
ditinho	intriga
dito	invencionice
diurnal	quotidiano
divagar	flanar
diversicolor	versicolor
diversidade	mudança
diversificado	diverso
diversório	prazer
divertido	folgaz
divertimento	entretimento
divertir-se	folgazar
dividir	ratear
dividir-se	partir-se
divinizar	extremar
divisado	estremado
divorciado	quite
divulgado	revelado
divulgar	preconizar
diz-que-diz	diz-que-me-diz-que
diz-que-diz-que	voz
dizedor	tagarela
dizer	ferir
diáfano	pelúcido
doar	sacrificar
doação	oferta
dobra	sinuosidade
dobradiça	engonço
dobradura	vinco
dobramento	vinco
dobrar	pressionar
dobrar-se	tornejar-se
dobrez	hipocrisia
doca	zerê
doce	melieiro
doente	paciente
doestar	escoicinhar
doidaria	maluquice
doideira	doudaria
doidejar	flanar
doirado	dourado
dolente	magoado
dolo	tábua
doloroso	magoado
dom	habilidade
dom-quixote	quixote
doma	domação
domar	sopear
domar-se	vencer-se
domesticar	subjugar
domiciliado	morador
dominador	senhoreador
dominar	reprimir
dominação	mando
doméstica	serviçal
domínio	unha
donaire	ornato
donairosamente	galhardamente
donairoso	gentil
doneador	galanteador
donoso	galhardo
donzel	singelo
dormente	plácido
dormideira	modorra
dormência	letargo
dotar	prendar
doudejar	vagabundar
doudo	tresloucado
dourar	entusiamar
doutrinar	educar
dozena	dúzia
dramático	tocante
drenagem	escoadura
drenar	extrair
dreno	escoadoiro
drogomano	turgimão
dulçor	mansidão
duna	médão
dunguinha	rapazola
dupla	par
duplicador	duplicante
duradoiro	durável
duradouro	perdurável
durar	subsistir
dureza	intransigência
duro	forte
duvidosamente	hesitantemente
duvidoso	irresoluto
dândi	janota
dévio	difícil
díade	par
dúctil	flexível
dúlcido	fagueiro
dúvida	incerteza
ebriático	embriagante
ebuliente	fervoroso
ebulitivo	fervente
ecfrático	picante
eclipsar	sombrear
eclipsar-se	socar-se
eclodir	ressair
eco	retumbo
ecoadouro	escoadoiro
ecoar	retinir
ecúleo	flagelo
edaz	insaciável
edificar	instruir
editorar	publicar
editoração	publicação
educar	polir
educar-se	polir-se
educação	política
edulcorar	placar
edule	manducável
edícula	oratório
efeito	êxito
efeituar-se	realizar-se
eferente	exódico
efetivação	implementação
efetuar-se	ocorrer
efundir	esvaziar
efundir-se	espalhar-se
efusão	emborque
efêmero	transitivo
efígie	translado
egoísmo	filáucia
egrégio	ilustre
eivar	exinanir
eixo	pivô
ejetar	expelir
elaboração	preparo
elanguescer	prostrar
elanguescido	enfraquecido
elasticidade	flexibilidade
elator	erector
elegância	glamour
elementar	primordial
elenco	lista
eletrizar	esporar
elevado	empolado
elevar	librar
elevar-se	nobilitar-se
elevação	rebitagem
eliciar	esconjurar
elidir	suprimir
eliminar	extinguir
eliminação	exclusão
elite	nata
elogiado	louvado
elogiar	plaudir
elogio	encômio
eloqüente	facundo
eloqüência	expressividade
elucidar	explicar
elusivo	esquivo
emaciado	emagrecido
emagrentado	mirrado
emalar	empacotar
emanar	transverberar
emancipar-se	resgatar-se
emaranhamento	embaraçamento
emascarar	sufocar
emascular	enfraquecer
emasculação	mutilação
emaçarocado	emaranhado
embabadar-se	enrugar-se
embaciado	rofo
embaciar	ençampar
embaciar-se	lograr-se
embaimento	embófia
embair	embalar
embalado	iluso
embalador	ilusivo
embalançar	menear
embalar	embelecar
embalsamado	olorante
embandeirar	nobrecer
embaralhar	enlabirintar
embaralhar-se	entremisturar-se
embaraçado	torvado
embaraçar	entravar
embaraçar-se	enredar-se
embaraço	engasgamento
embargamento	emperramento
embargo	obstáculo
embarrado	esbarrado
embarrar-se	entujucar-se
embarreirar	fortificar
embarricar	proteger
embarrigado	grávido
embasbacado	surpreso
embasbacar-se	surpreender-se
embate	oposição
embater-se	esbarrar-se
embatucar	entrelaçar
embatumado	pesado
embatumar	preencher
embaucar	embromar
embaular	esconder
embaçadeiro	embaçador
embaçado	logrado
embaçar	engabelar
embaçar-se	enganar-se
embaído	engazopado
embeber-se	empegar-se
embeberar	transir
embebimento	infiltração
embeiçado	enrabichado
embeiçar	enfeitiçar
embelecar	entreter
embelezar	inebriar
embespinhar	exagitar
embespinhar-se	rabiar
embestar	fincar-se
embevecer-se	encantar-se
embevecido	extasiado
embicar	emperrar
embirrância	teimosice
emblema	signa
embodegado	lixento
embolorado	mofado
embolso	remuneração
embonecar-se	engalanar-se
embonecrar	pendoar
emborcação	entornadura
emborque	esborro
emborquilhar	transvazar
emborralhar	enlodar
emborralhar-se	nodoar-se
emborrascar	revoltar
embotar	enfraquecer
embotelhar	engarrafar
embramar	enroscar
embrandecer	sensibilizar
embravear	embravecer
embravear-se	esquentar-se
embravecer-se	esturrar-se
embravecido	furibundo
embravecimento	encrespadura
embrenhar	entranhar
embrenhar-se	fundir-se
embretada	embrulho
embretar	sitiar
embriagamento	embriaguez
embriagar	inebriar
embriaguez	inebriamento
embridar	reprimir
embrincar	moldurar
embromar	palhetear
embrulhada	tralhoada
embrulhamento	ludíbrio
embrulhar	ludibriar
embrulho	encravação
embrumar	nublar
embrumar-se	encangotar-se
embrutar	estupidificar
embuchar-se	locupletar-se
emburrar	embuziar
emburricar	engabelar
embuste	embustice
embustear	gambelar
embusteirice	trapaça
embusteiro	empulhador
embustice	engano
embutido	encavilhado
embuziar	enlambuzar
embuçalar	trautear
embuçar	paliar
embófia	presunção
emendar	escarmentar
emergir	mostrar-se
eminente	ínclito
eminência	saliência
emissão	expedição
emitir	mencionar
emocionante	impressionante
emoldar	formar
emoldurar	revestir
emoldurar-se	ornar-se
emotividade	sensibilidade
empacar	entrelaçar
empachar	fechar
empalecer	menoscabar
empalidecer	menospreçar
empalmar	saltear
empancar	pejar
empantufar-se	entufar-se
empanturramento	enfartação
empanturrar-se	engalar-se
empapado	repassado
empapar	engrampar
empapuçado	tumefeito
emparelhamento	nivelamento
emparelhar	empatar
empatar	enlear
empavesar-se	envanecer-se
empavonar-se	estadear-se
empavonear-se	envaidecer-se
empaçocar	machucar
empecilho	tropecilho
empecimento	estorvamento
empedernecer	emperrar
empedernir	endurecer
empedernir-se	incrustar-se
empedrenir	endurar
empedrouçado	pedregoso
empegar	mergulhar
empegar-se	mergulhar-se
empenado	enfeitado
empenamento	torcimento
empenhorar	obrigar
empenhorar-se	fazer
emperlar	perolar
emperrar	estomagar
empertigado	ereto
empestado	pestilento
empestar	infecionar
empestear	pestear
empeçonhado	peçonhoso
empeçonhar	prevaricar
empeçonhentar	estragar
empilhamento	sobreposição
empinado	encabritado
empinar	virar
empinar-se	engalar-se
empiscar	fulgir
emplacar	enamorar
emplasmado	valetudinário
emplastrar	entrapar
emplumar-se	engalar-se
empolado	encapelado
empolgado	seduzido
emporcalhamento	enlameadura
emporcalhar-se	enodoar-se
emporcar	inquinar
empreendimento	firma
empregar	transtrocar
emprenhar	galar
empresa	pressuposto
emprisionar	represar
emproar-se	entufar-se
empulhação	tapeação
empurpurar	vermelhecer
empurpurecer	vermelhar
empurrar	socar
empurrão	encontrada
empuxar	impelir
emudecido	mudo
emulação	estímulo
emurchecer-se	murchar-se
enaltar	levantar
enaltecer	exaltar
enantrópico	endógeno
enastrar	encanastrar
encabeçamento	prefácio
encabeçar	sobreintender
encabrestar	submeter
encabulado	vexado
encabular	perseguir
encabulação	enleio
encachaçar-se	encarrascar-se
encacho	tangueiro
encadeamento	estruturação
encadear	trincafiar
encadeação	união
encafifado	envergonhado
encafifar	tungar
encafuado	encoberto
encafuar	entocar
encafuar-se	ocultar-se
encafurnar	enlocar
encafurnar-se	refugiar-se
encaixar	introduzir
encaixotar	encavar
encalejar-se	incrustar-se
encalhamento	oposição
encalistrar	tempestear
encalmar	judiar
encalvecido	pelado
encalçar	traquear
encaminhado	guiado
encamisada	quê
encanastrar	entrelaçar
encandear	ofuscar
encangotar	velar
encangotar-se	escurecer
encantar	enlevar
encantar-se	enfeitiçar-se
encanto	prumo
encanudado	encanutado
encanutado	tubulado
encanzinado	irado
encapar	entroixar
encapeladura	encrespamento
encapetado	trêfego
encapotar-se	velar-se
encaramelar	solidar
encarapitar-se	engrimponar-se
encarar	topar
encarceramento	reclusão
encarcerar-se	enterrar-se
encardir	encarvoejar
encarnar	vermelhar
encarniçar	provocar
encarochado	enfeitiçado
encarquilhado	esmarrido
encarquilhar	surcar
encarquilhar-se	enrugar-se
encarrancar	enublar
encarrancar-se	obscurecer-se
encarrapitar-se	engrimpar-se
encarrascar-se	toldar-se
encarregar	recomendar
encarreirar	enveredar
encarreirar-se	rumar
encarrilar	encarrilhar
encarvoado	encarvoejado
encarvoar	enlaivar
encasamento	engrenamento
encasar	inculcar
encasquetar	induzir
encasquetar-se	teimar
encastelar-se	escudar-se
encastramento	entrosamento
encavalgar	montar
encavernar	enlurar
encelar	trincafiar
enceleirar	poupar
encenar	ostentar
encenação	fantochada
encerrado	incluso
encerrar	enquadrar
encerrar-se	terminar-se
encervejar-se	encharcar-se
encetadura	inauguração
enchafurdar	subverter-se
encharcado	paludífero
encher	enquizilar
encher-se	estufar-se
enchoiriçar	flagelar
enchouriçar-se	encrespar-se
encimar	remontar
encintar	enlaçar
enclaustrado	enclausurado
enclausurar-se	recolher-se
encobardar-se	intimidar-se
encobertar	tapar
encoberto	nuvioso
encobrado	enriquecido
encobrimento	recolhimento
encobrir	silenciar
encobrir-se	obnubilar-se
encoimar	increpar
encoirado	encourado
encoirar	encourar
encoiraçar	encouraçar
encolerizado	irritado
encolerizar	irritar
encolerizar-se	exaltar-se
encolher	intimidar
encolher-se	resignar-se
encomenda	pedido
encompridar	espichar
encondensado	substanciado
encontrar	pegar
encontrar-se	topar-se
encontro	obstáculo
encontrão	topada
encorajar	reerguer
encorpado	massudo
encorrilhar	encoscorar
encorrugir	enrugar
encorujado	jaruru
encorujar	mirrar
encoscorar-se	refegar-se
encostar	zurzir
encostar-se	esfregar-se
encosto	respaldo
encovar	subterrar
encrassar	inspissar
encrava	enrascada
encravar	enfincar
encravar-se	engastar-se
encravelhar	enrabichar
encravelhar-se	encravilhar-se
encrencar	rodilhar
encrencar-se	enredear-se
encrespar	espetar
encrespar-se	franzir-se
encrespação	enfurecimento
encruado	indigesto
encruar	encruecer
encruar-se	excitar-se
encrudelecer-se	envinagrar-se
encruecer	insensibilizar
encruecer-se	escabritar-se
encruentar	tesar
encruentar-se	incitar-se
encruzar	transpor
encruzilhar	rasgar
encumear	engrandecer
encurtar	epilogar
encurvar-se	prostrar-se
encíclico	redondo
endemoninhado	endiabrado
endemoninhar	irar
endemoninhar-se	envinagrar-se
endentar	entrosar
endentação	engrenagem
endereçar	enviar
endestésico	endestético
endeusamento	potra
endeusar-se	enfunar-se
endiabrado	treloso
endocelular	intracelular
endoidar	ensandecer
endoidecer	endoudar
endoidecer-se	perturbar-se
endoidecido	enlouquecido
endosse	ratificação
endoudar	soçobrar
endurar	obdurar
endurar-se	petrificar-se
endurecer	revitalizar
endurecer-se	petrificar-se
endurecimento	pertinácia
endurentar	esticar
enegrecer	rebaixar
enegrecer-se	entrevar-se
enegrecido	manchado
enegrecimento	injúria
energia	valentia
enervador	irritante
enervamento	exasperação
enervar	exagitar
enervar-se	estiolar-se
enervação	lassidão
enerve	lânguido
enevoado	turvo
enevoar	sombrear
enevoar-se	ensombrecer-se
enfadar	monotonizar
enfadar-se	nausear-se
enfadonho	molestoso
enfadoso	peto
enfarar	fartar
enfarar-se	enjoar-se
enfaro	repugnância
enfarruscar-se	turbar-se
enfastiante	maçante
enfastiar	fadigar
enfastioso	enjoado
enfatuado	jactante
enfatuamento	entufamento
enfeitado	paramentado
enfeitar	formosear
enfeixar	entroixar
enfenecer	selar
enferrujado	ferrugento
enfestar	estopar
enfezamento	ira
enfezar	massacrar
enfezar-se	importunar-se
enfiada	ramal
enfiar-se	imitir-se
enfim	finalmente
enfiteuticário	enfitêutico
enflorado	florejado
enflorar	engalanar
enflorear	ornamentar
enflorescer	resplendecer
enforcar	esganar
enforcar-se	esgoelar-se
enfracado	extenuado
enfraquecido	enfraquentado
enfraquecimento	lassitude
enfraquentar	enlanguescer
enfraquentar-se	quebrantar-se
enfreado	retido
enfreamento	frenamento
enfrear	modicar
enfrenar-se	reprimir-se
enfrentar	entestar
enfrutecer	frutescer
enfunar	pojar
enfunar-se	orgulhar-se
enfunação	inchação
enfurecer	exasperar
enfurecer-se	remorder-se
enfurecido	irado
enfuriar	exaltar
enfurnar	enlocar
enfuscar	obumbrar
enfustar	especar
engabelar	impingir
engaiolar	ferrolhar
engalanar	ornar
engalar-se	envanecer-se
engalfinhar	pegar
engalfinhar-se	rolar
engalhopado	escarnido
engambelar	engrambelar
enganar	pantominar
enganchar	travar
engano	engodamento
engastar	interserir
engatado	unido
engatinhar	gatear
engavelar	faxinar
engazopado	logrado
engelhado	rugoso
engelhar	plicar
engelhar-se	franzir-se
engendrar	ter
engenhar	inventar
engenho	inventividade
engessar	gessar
engoiar-se	escanifrar
engolir	rebater
engomadura	gomagem
engonço	gonzo
engordurado	enlambuzado
engordurar	enlambuzar
engorovinhado	espadongado
engrambelar	iludir
engrampar	enloisar
engrandecer	qualificar
engranzado	entrosado
engranzagem	entrós
engranzar	engrazar
engraxador	engraxate
engrazar	enloisar
engraçado	facecioso
engraçar	reunir
engrenagem	engrenamento
engrenamento	entrosagem
engrimpar-se	lisonjear-se
engrimpinar-se	pavonear-se
engrimponar-se	estadear-se
engrinaldar	recompensar
engrinaldar-se	grinaldar-se
engrolado	tapeado
engrossar	espessar
engrunhido	malandro
engrupido	escarnecido
enguiçado	macutena
engurujar	retrair
enjerizar-se	envinagrar-se
enjoado	soporífero
enjoar	entediar
enlace	união
enlambuzar	ensebar
enlamear	manchar
enlamear-se	pandilhar-se
enlanguescente	languescente
enlanguescido	prostrado
enlapado	refugiado
enlaçar	estreitar
enlaçar-se	prender-se
enlear	enredar
enlear-se	enredear-se
enleio	envolvimento
enlevado	inebriado
enlevamento	rebitagem
enlevar	envolver
enlevo	êxtase
enlinhar	perturbar
enliçar	fraudar
enlodar-se	envilecer-se
enlousar	enviscar
enobrecimento	notabilização
enoiriçar	ouriçar
enoitecer	toldar
enojar	escoucear
enojar-se	entediar-se
enovelar-se	enrolar-se
enquadramento	inclusão
enquadrar	possuir
enraivado	enraivecido
enraivar	indignar
enraivecer	escandescer
enraivecer-se	raivejar
enraivecido	iracundo
enrascadela	quê
enrascar	tungar
enredadeira	lena
enredado	implexo
enredador	maranhoso
enredar	enredear
enredear	maçarocar
enredear-se	intrincar-se
enredo	matéria
enregelar	gelar
enregelar-se	gelar-se
enrenquear	perfilar
enricar	enriquecer
enrijar	revigorar
enrijecer	revigorar
enrijecer-se	retesar-se
enrinconar	rinconar
enrodilhar	trautear
enrodilhar-se	enrolar-se
enrolado	rolê
enrolar	velhacar
enrolar-se	equivocar-se
enroscamento	parafusação
enroscar	estreitar
enroscar-se	intricar-se
enroupar-se	velar-se
enroxado	enroxecido
enrubescer	esfoguear
enrugado	rugado
ensaboar	recriminar
ensaburrar	ferretar
ensacar	entroixar
ensaiar	industriar
ensangüentar	purpurear
ensebado	sebento
ensecar	exaurir
ensejar	produzir
ensejo	hora
ensementar	estender
ensinar	indicar
ensoalheirado	ensolarado
ensoberbar-se	inflar-se
ensoberbecer-se	intumescer-se
ensombrar	enturbar
ensombrecer	sombrear
ensombro	toldo
ensopado	repassado
entabuar	solhar
entabular	incoar
entaleigar	preencher
entalha	talha
enteato	enteu
entecer	entretecer
entediado	farto
entediante	soporífico
entelhado	imbricado
entender	imaginar
entendido	percebido
entenebrecer	sombrear
entenebrecer-se	negrejar-se
entesamento	estirão
entesar	esticar
entesoirador	tesaurizador
entibiar	extenuar
entoar	soar
entojar	flagelar
entontecer	zonzar
entornar	estragar
entornar-se	esparzir-se
entorpecer	imotar
entortadura	torço
entrada	porta
entrajar	envergar
entrajar-se	tratar-se
entranqueirar	fortificar
entrar	vaziar
entravar	pausar
entrave	obstáculo
entreaberto	soaberto
entreabrir	florir
entrebranco	exalviçado
entrecruzar-se	travar-se
entredizer	entrefalar
entregador	tredo
entregar	sacrificar
entregar-se	vagar
entreluzir	relumear
entremesclar	obscurecer
entremesclar-se	misturar-se
entremeter	intermediar
entremez	sainete
entreouvir	sentir
entrepausa	intercadência
entrepor	intermeter
entressachar	intervalar
entressemear	recortar
entretecer	obrar
entreter	negacear
entreter-se	vadiar
entretido	recreado
entrevar	ofuscar
entrever-se	vislumbrar
entrezar	travar
entrincheiramento	tapigo
entrincheirar	valar
entristecedor	entristecente
entristecer	ferir
entristecer-se	estiolar-se
entronização	exaltação
entrosar	recompor
entrouxar	ordenar
entrouxar-se	refugiar-se
entufar	inturgescer
entufar-se	envanecer-se
entulhar	preencher
entupir	tapar
entupir-se	fechar-se
enturvar	nevoar
entusiasmar	excitar
entusiástico	fervente
enunciado	expresso
enunciar	mencionar
enuviar	sombrejar
envaidar-se	estadear-se
envaidecer	pavonear
envaidecer-se	intumescer-se
envalar-se	fortificar-se
envanecer	inchar
envanecer-se	inflar-se
envasadura	envasilhamento
envelope	involutório
envencilhado	implexo
envencilhar	jungir
envenenar	putrefazer
envenenar-se	intoxicar-se
enverdecer	verdejar
enverdecer-se	reverdecer-se
envergar-se	zumbrir-se
envermelhar	vermelhear
enviesar	inclinar
envigorar	vigorar
envilecedor	rebaixador
envilecer	rebaixar
envinagrar-se	reprurir-se
enviperado	furente
enviperar-se	exceder-se
enviçado	fresco
envolto	revolto
envolver	reprimir
envolver-se	implicar-se
envolvimento	sedução
envolvência	hipnotização
enxadrezar	escaquear
enxadrista	xadrezista
enxame	pelotão
enxameação	enxameamento
enxergar	perceber
enxofrar	irritar
enxovalhado	infamado
enxovalhamento	mácula
enxovalhar	impurificar
enxovalhar-se	mediocrizar-se
enxugadoiro	varal
enxugo	varal
enxundiar	nutrir
enxurdar-se	ingurgitar-se
enxurdeiro	tujucal
enxurrada	reponta
enxuto	seco
enzonzar	estontear
ençampar	velhaquear
epicédio	lamentação
epilogar	trancar
epitomar	recapitular
epístola	missiva
epítome	súmula
equalizar	uniformizar
equilibrar-se	ter-se
equivaler	valer
equivocar	trocar
equânimo	justo
equívoco	trocado
eqüitativo	íntegro
erector	eretor
eremita	ermita
ereção	levantadura
erguer	formar
erguer-se	suspender-se
erijar	inteiriçar
ermita	ermitão
ermo	tebaida
erodir	rafar
erosar	rafar
erotismo	sensualidade
erotização	sensualização
errabundo	vagamundo
errado	errôneo
errar	perambular
erriçar-se	hispidar-se
erro	falha
erubescer	rosar
erudito	lido
eruginoso	ruvinhoso
ervadura	voorara
esbambear	folgazar
esbandalhado	esfarrapado
esbandalhar	estrinçar
esbandulhado	esbarrigado
esbanjador	estróina
esbanjamento	prodigalização
esbanjar	malgastar
esbarrar	refugar
esbarrondadeiro	resvaladoiro
esbodegado	estragado
esbofamento	exaustão
