a-bê-cê	abecedário
afetuoso	maternal
afetível	simpático
afiado	aguçado
afiambrar	galanear
afiançado	asseverado
afiançar	assegurar
afiar	esmerilar
afigurar	traçar
afigurar-se	recordar
afilado	apuado
afilar	definhar
afilhado	apadrinhado
afiliação	associação
afim	parecido
afinado	purificado
afinamento	perfeição
afinar	polir
afincado	tenaz
afincamento	tenacidade
afincar-se	emperrar
afinco	reincidência
afinidade	intimidade
afirmar	implantar
afixar	prender
afixo	segurado
aflado	assoprado
aflar	inspirar
aflautado	delgado
aflechar	susceptibilizar
afligente	cruciário
afligido	atritado
afligidor	mortificativo
afligimento	agonia
afligir	sorver
afligir-se	martirizar-se
aflitivo	dilacerante
aflito	apertado
afloramento	aplainamento
aflorar	frolar
afluir	refluir
afluição	ondada
afobado	azafamado
afobar	maranhar
afobação	azáfama
afofado	regateiro
afofar	envaidar
afogadura	afogo
afogar	dependurar
afogar-se	melar-se
afogo	atropelação
afogueamento	caldeamento
afoguear	ruborizar
afoitar	estimular
afoitar-se	afoutar-se
afoiteza	atrevimento
afoito	longânime
afonsino	velho
aforado	enfiteuticado
aforar-se	avocar-se
aforia	infertilidade
aforismal	aforístico
aformosar	vestir
aformoseamento	aformosentamento
aformosear	embrincar
aformosear-se	engalanar-se
aformosentamento	ataviamento
aformosentar	ajaezar
aforrar	cumular
aforro	libertação
afortalecer-se	retemperar-se
afortalezar	oxigenar
afortalezar-se	refugiar-se
afortunado	fasto
afoutar-se	enfeitar-se
afouteza	coragem
afouto	teso
afracado	anemiado
afregulhado	apressado
afrentar	encarar
afrescar	arrefecer
afroixado	largo
afroixar	bambar
afronta	ataque
afrontado	ofendido
afrontamento	ultraje
afrontar	estrompar
afrouxar	malear
afrouxar-se	entorpecer
afrouxelado	delicado
afumar	vaporar
afumear	esfumar
afumegar	esfumear
afundado	escavado
afundar-se	desaparecer-se
afunilar	estreitar
afuroado	escavado
afutricar	fuxicar
afuzilar	esfuziar
afável	amorável
afã	labuta
agachado	alapardado
agachamento	encolhedela
agachar-se	encafuar-se
agadanhar	esfolar
agadunhado	furtado
agafanhar	unhar
agaiatado	malicioso
agalanado	esquipado
agalegado	rude
agalinhar-se	estarrecer-se
agaloar	enaltecer
agarra	agarração
agarrar	garrear
agarrar-se	filar-se
agarração	agarramento
agasalhado	enconchado
agasalhar	velar
agasalhar-se	recobrir-se
agasalho	pousada
agastadiço	tomadiço
agastado	enraivecido
agastamento	arrelia
agastar-se	embravear-se
agatinhar	gatinhar
agenciador	laborioso
agencioso	ativo
agenda	caderneta
agente	propulsor
agermanar-se	envolver-se
agigantado	escomunal
agigantar	ampliar
agigantar-se	gigantear
agigantear	agravar
agigantear-se	gigantear
agilidade	dinamismo
agitado	fremente
agitador	agitante
agitar	desassossegar
agitar-se	sacudir-se
agitação	fogo
agito	alvorotamento
aglomerado	coacervado
aglomerar	lotar
aglomerar-se	associar-se
aglomeração	concentração
aglutinante	aglutinativo
aglutinar	pegar
agoirar	profetizar
agonia	decadência
agoniado	amargado
agoniar	ansiar
agonizar	boquear
agourar	saber
agourento	ominoso
agouro	prognóstico
agraciação	galardoamento
agradar	alegrar
agradar-se	deleitar-se
agradecer	gratular
agrado	prazimento
agradável	macio
agravamento	aumento
agravar	recrudescer
agredir	ir
agregado	ajuntado
agregar	congregar
agregar-se	consociar-se
agregação	associação
agregável	cooptável
agremiar	ajuntar
