achatadura	amolgadura
achatamento	amolgadura
achatar	esmagar
achatar-se	agachar-se
achavascado	chavascado
achega	ajudadouro
achegadeira	fofoqueira
achegado	junto
achegamento	aproximação
acheganças	achegas
achegar	unir
achegar-se	chegar-se
achegas	ajudadoiro
achego	amparo
achichelado	achinelado
achinado	achinesado
achincalhador	achincalhante
achincalhamento	escárnio
achincalhação	achincalhe
achincalhe	ridiculização
achinelado	desestimado
achinfrinado	turbulento
achoiriçado	enchouriçado
achádego	achado
achável	encontrável
aciaria	cutelaria
acicalado	polido
aciculado	agulheado
acicular	agulheado
aciculiforme	agulheado
acidade	acidez
acidentado	escabroso
acidental	eventual
acidentalidade	casualidade
acidentalmente	ocasionalmente
acidentar	lesionar
acidentar-se	ferir-se
acidente	contratempo
acidentário	brusco
acidez	aziúme
acidia	desânimo
acidificado	aziumado
acidificar	azedar
acidulado	acídulo
acidulce	acre-doce
acidável	acidificável
acidência	acidentalidade
acima	ascensionalmente
acimentado	cimentado
acincho	cincho
acinte	injúria
acintoso	maldadoso
acinturado	cinturado
acinzado	acinzeirado
acinzeirado	acinzentado
acinzentado	cendrado
acionador	drive
acionar	ativar
acionário	acionista
acipitriano	acipitrino
acipreste	cipreste
acirrado	exacerbado
acirramento	concitação
acirrante	exasperante
acirrar	pruir
acirrar-se	exasperar-se
acitara	sobreanca
acitrinado	citrino
aclamado	aplaudido
aclamador	aclamante
aclamar	saudar
aclamar-se	eleger-se
aclamativo	aclamatório
aclamação	prova
aclarado	elucidado
aclarador	esclarecedor
aclaramento	dilucidamento
aclarar	expurgar
aclarar-se	alumbrar-se
aclarecer	escurentar
aclimado	avezado
aclimamento	adaptação
aclimar	aclimatar
aclimar-se	habituar-se
aclimatado	treito
aclimatar	naturalizar
aclimatar-se	aclimatizar-se
aclimatação	ajustamento
aclimatizado	acostumado
aclimatizar	acostumar
aclimatizar-se	climatizar-se
aclimatável	aclimável
aclimação	aclimatação
aclimável	acomodável
aclivado	aclivoso
aclive	escarpado
aclivoso	enladeirado
acme	cúmulo
acoar	escorrer
acoar-se	filtrar-se
acobardado	atemorado
acobardamento	pusilanimidade
acobardar	atemorizar
acobardar-se	atemorizar-se
acobertado	encoberto
acobertar	roupar
acobertar-se	enroupar-se
acoberto	coberto
acobreado	caboclo
acocar	cariciar
acocação	mimo
acochar	inquerir
acocorado	agachado
acocorar	agachar
acocorar-se	moquecar-se
acoelhado	assustado
acogulado	atulhado
acogular	encher
acoimado	castigado
acoimador	repreensor
acoimamento	penalidade
acoimar	encoimar
acoimável	coimável
acoirelamento	acourelamento
acoitado	homiziado
acoitar	acolher
acoitar-se	entroixar-se
acolchetar	colchetar
acolchoado	estofado
acolchoamento	estofamento
acolchoar	almofadar
acolhedor	atraente
acolher	agasalhar
acolher-se	asilar-se
acolhida	agasalho
acolhimento	guarida
acolitado	acompanhado
acolá	além
acometedor	cometedor
acometer	apossear-se
acometida	provocação
acometimento	saltada
acometividade	agressividade
acomodadiço	acomodatício
acomodado	digno
acomodar	arrumar
acomodar-se	adequar-se
acomodação	conformismo
acompadração	compadrio
acompanhado	assistido
acompanhador	acompanhante
acompanhamento	comitiva
acompanhar	reproduzir
acompleicionado	acomplexionado
acompleiçoado	acomplexionado
acompridar	encompridar
acompridar-se	continuar-se
acomunar-se	mancomunar-se
aconchado	aconcheado
aconchavador	conchavador
aconchavar	ajustar
aconchavar-se	aparceirar-se
aconchegado	aproximado
aconchegante	aconchegativo
aconchegar	vizinhar
aconchegar-se	encolher-se
aconchegativo	agasalhador
aconchego	esteio
acondicionado	enrolado
acondicionamento	embalagem
acondicionar	justar
acondicionar-se	arranjar-se
acondimentar	condimentar
acondutar	picuar
aconfradar	irmanar
aconselhado	recomendado
aconselhador	conselheiro
aconselhamento	persuasão
aconselhar	capacitar
aconselhar-se	consultar
aconsoantar	rimar
acontecer	sobrevir
acontecido	sucedimento
acontecimento	evento
acontista	frecheiro
acoplado	ligado
acoplagem	acoplamento
acoplamento	incorporação
acordado	concertado
acordamento	excitação
acordante	acorde
acordar	concitar
acordar-se	articular-se
acorde	concorde
acordeom	gaita
acordeonista	sanfoneiro
acordeão	harmônica
acordo	conformidade
acoroçoado	encorajado
acoroçoamento	estimulação
acoroçoar	esperançar
acoroçoar-se	animar-se
acorrentado	encadeado
acorrentamento	aprisionamento
